message,label,clean_message
Coupon code is not working.,1,coupon code working
"I was charged twice, fix this immediately! asap",2,charged twice fix immediately asap
"I was billed incorrectly, please check.!!!",1,billed incorrectly please check
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Prices seem reasonable.,0,price seem reasonable
Unable to login sometimes. asap,1,unable login sometimes asap
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
Received a damaged package. kindly resolve,1,received damaged package kindly resolve
"I was charged twice, fix this immediately!!!!",2,charged twice fix immediately
I have not received my refund yet. please help,1,received refund yet please help
Just giving feedback about the UI. please help,0,giving feedback ui please help
The new update is nice. please help,0,new update nice please help
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
Coupon code is not working.!!!,1,coupon code working
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
I have not received my refund yet. kindly resolve,1,received refund yet kindly resolve
Order arrived late. asap,1,order arrived late asap
Need help with changing my address.,1,need help changing address
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
General feedback on your website.,0,general feedback website
Sharing a suggestion for improvement. kindly resolve,0,sharing suggestion improvement kindly resolve
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person received order detail please help
The app looks good.,0,app look good
Payment confirmation is pending. please help,1,payment confirmation pending please help
"I was billed incorrectly, please check. kindly resolve",1,billed incorrectly please check kindly resolve
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
My account has been hacked!,2,account hacked
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
"I was charged twice, fix this immediately! asap",2,charged twice fix immediately asap
Prices seem reasonable.!!!,0,price seem reasonable
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
My account has been hacked! kindly resolve,2,account hacked kindly resolve
My account has been hacked! please help,2,account hacked please help
Coupon code is not working. please help,1,coupon code working please help
Sharing a suggestion for improvement. asap,0,sharing suggestion improvement asap
Coupon code is not working.!!!,1,coupon code working
The new update is nice. kindly resolve,0,new update nice kindly resolve
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
"I was charged twice, fix this immediately!",2,charged twice fix immediately
Order arrived late.!!!,1,order arrived late
I like your service. kindly resolve,0,like service kindly resolve
Unauthorized payment from my card!,2,unauthorized payment card
Need help with changing my address.,1,need help changing address
Unable to login sometimes.,1,unable login sometimes
I like your service.,0,like service
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Data privacy issue — my info is visible to others! kindly resolve,2,data privacy issue info visible others kindly resolve
Sharing a suggestion for improvement. kindly resolve,0,sharing suggestion improvement kindly resolve
Coupon code is not working. please help,1,coupon code working please help
Unauthorized payment from my card!,2,unauthorized payment card
Need help with changing my address.,1,need help changing address
Payment taken multiple times!,2,payment taken multiple time
The new update is nice.,0,new update nice
My delivery was delayed by two days. please help,1,delivery delayed two day please help
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Coupon code is not working.,1,coupon code working
General feedback on your website.,0,general feedback website
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
I have not received my refund yet.!!!,1,received refund yet
Payment taken multiple times!,2,payment taken multiple time
I like your service. please help,0,like service please help
Need help with changing my address. asap,1,need help changing address asap
Overall experience was okay. asap,0,overall experience okay asap
Prices seem reasonable.!!!,0,price seem reasonable
Tracking info is not updating.,1,tracking info updating
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Feature request: dark mode would be nice. asap,0,feature request dark mode would nice asap
Received a damaged package.,1,received damaged package
I like your service. asap,0,like service asap
Tracking info is not updating. asap,1,tracking info updating asap
Prices seem reasonable.!!!,0,price seem reasonable
The new update is nice.,0,new update nice
I like your service.,0,like service
Coupon code is not working. asap,1,coupon code working asap
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
I like your service.!!!,0,like service
My delivery was delayed by two days.,1,delivery delayed two day
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Prices seem reasonable. please help,0,price seem reasonable please help
Received a damaged package. asap,1,received damaged package asap
"I was charged twice, fix this immediately!!!!",2,charged twice fix immediately
My delivery was delayed by two days. please help,1,delivery delayed two day please help
Data privacy issue — my info is visible to others! kindly resolve,2,data privacy issue info visible others kindly resolve
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Your staff was polite. kindly resolve,0,staff polite kindly resolve
Payment taken multiple times!,2,payment taken multiple time
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person received order detail please help
Overall experience was okay. kindly resolve,0,overall experience okay kindly resolve
I like your service.,0,like service
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
My delivery was delayed by two days. kindly resolve,1,delivery delayed two day kindly resolve
I like your service. asap,0,like service asap
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Overall experience was okay. asap,0,overall experience okay asap
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
I have not received my refund yet.,1,received refund yet
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
My delivery was delayed by two days.,1,delivery delayed two day
Overall experience was okay.,0,overall experience okay
My delivery was delayed by two days. kindly resolve,1,delivery delayed two day kindly resolve
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Prices seem reasonable.!!!,0,price seem reasonable
Sharing a suggestion for improvement. asap,0,sharing suggestion improvement asap
Payment confirmation is pending. please help,1,payment confirmation pending please help
Payment taken multiple times!,2,payment taken multiple time
Need help with changing my address. please help,1,need help changing address please help
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
I like your service. asap,0,like service asap
I like your service. asap,0,like service asap
Critical: scam activity on my profile!,2,critical scam activity profile
Critical: scam activity on my profile! asap,2,critical scam activity profile asap
General feedback on your website. asap,0,general feedback website asap
Payment taken multiple times!,2,payment taken multiple time
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
Payment taken multiple times!,2,payment taken multiple time
I have not received my refund yet. please help,1,received refund yet please help
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
The new update is nice. please help,0,new update nice please help
My delivery was delayed by two days. kindly resolve,1,delivery delayed two day kindly resolve
I like your service. asap,0,like service asap
I like your service.,0,like service
Received a damaged package.!!!,1,received damaged package
Payment confirmation is pending. please help,1,payment confirmation pending please help
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person received order detail please help
Need help with changing my address.!!!,1,need help changing address
Fraud transaction detected on my account! kindly resolve,2,fraud transaction detected account kindly resolve
The new update is nice. kindly resolve,0,new update nice kindly resolve
Critical: scam activity on my profile!!!!,2,critical scam activity profile
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Payment taken multiple times!,2,payment taken multiple time
Order arrived late. asap,1,order arrived late asap
Coupon code is not working. kindly resolve,1,coupon code working kindly resolve
My delivery was delayed by two days.!!!,1,delivery delayed two day
Received a damaged package.!!!,1,received damaged package
Payment taken multiple times!!!!,2,payment taken multiple time
Coupon code is not working. please help,1,coupon code working please help
Sharing a suggestion for improvement.!!!,0,sharing suggestion improvement
Need help with changing my address. asap,1,need help changing address asap
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
General feedback on your website.,0,general feedback website
Just giving feedback about the UI.!!!,0,giving feedback ui
I like your service.,0,like service
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Received a damaged package.!!!,1,received damaged package
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Feature request: dark mode would be nice.,0,feature request dark mode would nice
"I was charged twice, fix this immediately! kindly resolve",2,charged twice fix immediately kindly resolve
Unauthorized payment from my card!!!!,2,unauthorized payment card
The app looks good.,0,app look good
Overall experience was okay. kindly resolve,0,overall experience okay kindly resolve
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
Unable to login sometimes.!!!,1,unable login sometimes
Received a damaged package.,1,received damaged package
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Payment taken multiple times!!!!,2,payment taken multiple time
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Urgent: money deducted but order failed!,2,urgent money deducted order failed
I have not received my refund yet. please help,1,received refund yet please help
The app looks good. please help,0,app look good please help
Coupon code is not working.!!!,1,coupon code working
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
My delivery was delayed by two days.,1,delivery delayed two day
Coupon code is not working. asap,1,coupon code working asap
Payment confirmation is pending. please help,1,payment confirmation pending please help
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
The new update is nice.!!!,0,new update nice
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Need help with changing my address. asap,1,need help changing address asap
My account has been hacked! kindly resolve,2,account hacked kindly resolve
General feedback on your website.!!!,0,general feedback website
I like your service.!!!,0,like service
Payment taken multiple times!,2,payment taken multiple time
Unable to login sometimes. kindly resolve,1,unable login sometimes kindly resolve
Your staff was polite.!!!,0,staff polite
I have not received my refund yet. please help,1,received refund yet please help
Coupon code is not working.!!!,1,coupon code working
Payment taken multiple times!,2,payment taken multiple time
Payment taken multiple times!!!!,2,payment taken multiple time
Critical: scam activity on my profile!,2,critical scam activity profile
Overall experience was okay. kindly resolve,0,overall experience okay kindly resolve
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
My delivery was delayed by two days.,1,delivery delayed two day
The app looks good.,0,app look good
Just giving feedback about the UI.!!!,0,giving feedback ui
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
Unable to login sometimes.,1,unable login sometimes
I like your service. please help,0,like service please help
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Order arrived late. please help,1,order arrived late please help
Order arrived late.!!!,1,order arrived late
Sharing a suggestion for improvement. kindly resolve,0,sharing suggestion improvement kindly resolve
The new update is nice. kindly resolve,0,new update nice kindly resolve
Payment taken multiple times!,2,payment taken multiple time
Unauthorized payment from my card!,2,unauthorized payment card
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Received a damaged package. asap,1,received damaged package asap
Tracking info is not updating.,1,tracking info updating
Tracking info is not updating.,1,tracking info updating
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Payment taken multiple times!,2,payment taken multiple time
Just giving feedback about the UI. please help,0,giving feedback ui please help
Unauthorized payment from my card! please help,2,unauthorized payment card please help
Overall experience was okay. asap,0,overall experience okay asap
Feature request: dark mode would be nice.,0,feature request dark mode would nice
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
"I was charged twice, fix this immediately! please help",2,charged twice fix immediately please help
Need help with changing my address. please help,1,need help changing address please help
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Coupon code is not working.,1,coupon code working
I like your service.,0,like service
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Data privacy issue — my info is visible to others! kindly resolve,2,data privacy issue info visible others kindly resolve
Your staff was polite.,0,staff polite
Unable to login sometimes. asap,1,unable login sometimes asap
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Coupon code is not working. please help,1,coupon code working please help
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
"I was billed incorrectly, please check.",1,billed incorrectly please check
Urgent: money deducted but order failed!!!!,2,urgent money deducted order failed
Overall experience was okay. asap,0,overall experience okay asap
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
Coupon code is not working. kindly resolve,1,coupon code working kindly resolve
Just giving feedback about the UI.!!!,0,giving feedback ui
Need help with changing my address. please help,1,need help changing address please help
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Your staff was polite.,0,staff polite
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Your staff was polite. asap,0,staff polite asap
Need help with changing my address.!!!,1,need help changing address
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
Immediate help needed: account locked with balance inside! please help,2,immediate help needed account locked balance inside please help
General feedback on your website.!!!,0,general feedback website
Overall experience was okay.,0,overall experience okay
The new update is nice. please help,0,new update nice please help
Unable to login sometimes.,1,unable login sometimes
Immediate help needed: account locked with balance inside! please help,2,immediate help needed account locked balance inside please help
Overall experience was okay. asap,0,overall experience okay asap
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Unable to login sometimes.,1,unable login sometimes
Critical: scam activity on my profile! asap,2,critical scam activity profile asap
I have not received my refund yet. please help,1,received refund yet please help
Need help with changing my address. asap,1,need help changing address asap
My account has been hacked! asap,2,account hacked asap
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Payment taken multiple times! please help,2,payment taken multiple time please help
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
Data privacy issue — my info is visible to others! kindly resolve,2,data privacy issue info visible others kindly resolve
Unable to login sometimes.,1,unable login sometimes
I like your service.!!!,0,like service
Payment taken multiple times!,2,payment taken multiple time
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Urgent: money deducted but order failed!!!!,2,urgent money deducted order failed
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Data privacy issue — my info is visible to others! kindly resolve,2,data privacy issue info visible others kindly resolve
Data privacy issue — my info is visible to others! please help,2,data privacy issue info visible others please help
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Coupon code is not working. please help,1,coupon code working please help
Coupon code is not working.,1,coupon code working
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
Critical: scam activity on my profile!,2,critical scam activity profile
Feature request: dark mode would be nice. asap,0,feature request dark mode would nice asap
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
My delivery was delayed by two days.!!!,1,delivery delayed two day
Your staff was polite. please help,0,staff polite please help
I like your service.!!!,0,like service
Unable to login sometimes.,1,unable login sometimes
I like your service. kindly resolve,0,like service kindly resolve
Fraud transaction detected on my account!!!!,2,fraud transaction detected account
General feedback on your website.!!!,0,general feedback website
Received a damaged package.,1,received damaged package
My account has been hacked! kindly resolve,2,account hacked kindly resolve
Payment confirmation is pending. please help,1,payment confirmation pending please help
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
Payment taken multiple times! kindly resolve,2,payment taken multiple time kindly resolve
Unable to login sometimes.,1,unable login sometimes
I like your service. please help,0,like service please help
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
The new update is nice. kindly resolve,0,new update nice kindly resolve
Unable to login sometimes. please help,1,unable login sometimes please help
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
I like your service.!!!,0,like service
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Feature request: dark mode would be nice. asap,0,feature request dark mode would nice asap
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
My account has been hacked! kindly resolve,2,account hacked kindly resolve
Need help with changing my address. asap,1,need help changing address asap
Urgent: money deducted but order failed!,2,urgent money deducted order failed
The app looks good.!!!,0,app look good
Tracking info is not updating. asap,1,tracking info updating asap
I like your service.!!!,0,like service
Prices seem reasonable.!!!,0,price seem reasonable
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Your staff was polite. asap,0,staff polite asap
Unauthorized payment from my card!!!!,2,unauthorized payment card
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Feature request: dark mode would be nice.,0,feature request dark mode would nice
My account has been hacked! please help,2,account hacked please help
Need help with changing my address.!!!,1,need help changing address
The app looks good. kindly resolve,0,app look good kindly resolve
Payment taken multiple times! please help,2,payment taken multiple time please help
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
Prices seem reasonable. please help,0,price seem reasonable please help
Payment taken multiple times!!!!,2,payment taken multiple time
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Prices seem reasonable.,0,price seem reasonable
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
General feedback on your website. please help,0,general feedback website please help
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Order arrived late. asap,1,order arrived late asap
I have not received my refund yet.!!!,1,received refund yet
Feature request: dark mode would be nice. asap,0,feature request dark mode would nice asap
Overall experience was okay.,0,overall experience okay
Unable to login sometimes. please help,1,unable login sometimes please help
Unauthorized payment from my card!!!!,2,unauthorized payment card
Unauthorized payment from my card!,2,unauthorized payment card
Coupon code is not working.!!!,1,coupon code working
General feedback on your website.!!!,0,general feedback website
Unauthorized payment from my card!,2,unauthorized payment card
The new update is nice. please help,0,new update nice please help
Immediate help needed: account locked with balance inside! kindly resolve,2,immediate help needed account locked balance inside kindly resolve
I like your service.!!!,0,like service
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
"I was billed incorrectly, please check.",1,billed incorrectly please check
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Received a damaged package.,1,received damaged package
Serious complaint: wrong person received my order and details! asap,2,serious complaint wrong person received order detail asap
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
Need help with changing my address. please help,1,need help changing address please help
My delivery was delayed by two days.,1,delivery delayed two day
Need help with changing my address.!!!,1,need help changing address
My account has been hacked!,2,account hacked
Overall experience was okay. please help,0,overall experience okay please help
Need help with changing my address. asap,1,need help changing address asap
I like your service. asap,0,like service asap
Fraud transaction detected on my account! kindly resolve,2,fraud transaction detected account kindly resolve
My account has been hacked! please help,2,account hacked please help
Tracking info is not updating. please help,1,tracking info updating please help
My delivery was delayed by two days. kindly resolve,1,delivery delayed two day kindly resolve
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
Payment taken multiple times!!!!,2,payment taken multiple time
Payment taken multiple times! please help,2,payment taken multiple time please help
The app looks good.!!!,0,app look good
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Need help with changing my address.!!!,1,need help changing address
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
Unable to login sometimes. asap,1,unable login sometimes asap
The new update is nice. kindly resolve,0,new update nice kindly resolve
Need help with changing my address. please help,1,need help changing address please help
Sharing a suggestion for improvement. kindly resolve,0,sharing suggestion improvement kindly resolve
Unable to login sometimes.,1,unable login sometimes
Your staff was polite.,0,staff polite
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
Your staff was polite. asap,0,staff polite asap
Coupon code is not working. please help,1,coupon code working please help
Received a damaged package. asap,1,received damaged package asap
Unable to login sometimes. kindly resolve,1,unable login sometimes kindly resolve
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person received order detail please help
Data privacy issue — my info is visible to others! please help,2,data privacy issue info visible others please help
I like your service.,0,like service
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Just giving feedback about the UI.!!!,0,giving feedback ui
Tracking info is not updating. asap,1,tracking info updating asap
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
Payment confirmation is pending.,1,payment confirmation pending
I like your service.!!!,0,like service
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
"I was billed incorrectly, please check. kindly resolve",1,billed incorrectly please check kindly resolve
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Unauthorized payment from my card!!!!,2,unauthorized payment card
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
I like your service. kindly resolve,0,like service kindly resolve
Payment taken multiple times! please help,2,payment taken multiple time please help
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
"I was charged twice, fix this immediately! please help",2,charged twice fix immediately please help
I have not received my refund yet.,1,received refund yet
Payment confirmation is pending. please help,1,payment confirmation pending please help
The app looks good. kindly resolve,0,app look good kindly resolve
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
"I was billed incorrectly, please check.!!!",1,billed incorrectly please check
Unable to login sometimes. asap,1,unable login sometimes asap
I like your service. asap,0,like service asap
Payment taken multiple times!,2,payment taken multiple time
"I was charged twice, fix this immediately! asap",2,charged twice fix immediately asap
Payment taken multiple times!!!!,2,payment taken multiple time
Prices seem reasonable.,0,price seem reasonable
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
"I was charged twice, fix this immediately! please help",2,charged twice fix immediately please help
Payment confirmation is pending. asap,1,payment confirmation pending asap
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
"I was charged twice, fix this immediately! please help",2,charged twice fix immediately please help
I have not received my refund yet. please help,1,received refund yet please help
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
Payment taken multiple times!!!!,2,payment taken multiple time
Tracking info is not updating.,1,tracking info updating
Payment taken multiple times! please help,2,payment taken multiple time please help
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Your staff was polite. kindly resolve,0,staff polite kindly resolve
My account has been hacked! kindly resolve,2,account hacked kindly resolve
I like your service. please help,0,like service please help
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
Tracking info is not updating.!!!,1,tracking info updating
Just giving feedback about the UI.!!!,0,giving feedback ui
Unauthorized payment from my card! please help,2,unauthorized payment card please help
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person received order detail please help
Coupon code is not working. asap,1,coupon code working asap
Payment confirmation is pending.,1,payment confirmation pending
I like your service. please help,0,like service please help
Need help with changing my address.!!!,1,need help changing address
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Payment taken multiple times! kindly resolve,2,payment taken multiple time kindly resolve
Critical: scam activity on my profile! please help,2,critical scam activity profile please help
Tracking info is not updating. please help,1,tracking info updating please help
Overall experience was okay.!!!,0,overall experience okay
Need help with changing my address. asap,1,need help changing address asap
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
The new update is nice. please help,0,new update nice please help
Unauthorized payment from my card! please help,2,unauthorized payment card please help
Your staff was polite.!!!,0,staff polite
Sharing a suggestion for improvement.!!!,0,sharing suggestion improvement
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
Payment taken multiple times!,2,payment taken multiple time
I like your service. kindly resolve,0,like service kindly resolve
Overall experience was okay. asap,0,overall experience okay asap
Received a damaged package.!!!,1,received damaged package
Payment confirmation is pending. kindly resolve,1,payment confirmation pending kindly resolve
"I was billed incorrectly, please check. kindly resolve",1,billed incorrectly please check kindly resolve
My delivery was delayed by two days.,1,delivery delayed two day
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Payment taken multiple times! kindly resolve,2,payment taken multiple time kindly resolve
Sharing a suggestion for improvement. kindly resolve,0,sharing suggestion improvement kindly resolve
Unable to login sometimes.!!!,1,unable login sometimes
I have not received my refund yet.,1,received refund yet
My delivery was delayed by two days. kindly resolve,1,delivery delayed two day kindly resolve
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
Payment taken multiple times! asap,2,payment taken multiple time asap
General feedback on your website.!!!,0,general feedback website
Payment taken multiple times! please help,2,payment taken multiple time please help
Fraud transaction detected on my account! kindly resolve,2,fraud transaction detected account kindly resolve
The new update is nice. kindly resolve,0,new update nice kindly resolve
Data privacy issue — my info is visible to others! asap,2,data privacy issue info visible others asap
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
The new update is nice.!!!,0,new update nice
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
General feedback on your website. asap,0,general feedback website asap
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person received order detail please help
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Coupon code is not working.!!!,1,coupon code working
Your staff was polite. asap,0,staff polite asap
Need help with changing my address. asap,1,need help changing address asap
Payment confirmation is pending.,1,payment confirmation pending
My account has been hacked! asap,2,account hacked asap
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
Fraud transaction detected on my account!,2,fraud transaction detected account
Urgent: money deducted but order failed!,2,urgent money deducted order failed
